dev,name,batch_size,_compile,OutputGraph.call_user_compiler,create_aot_dispatcher_function,compile_fx.<locals>.fw_compiler_base,GraphLowering.run,GraphLowering.compile_to_module,Scheduler.__init__,Scheduler.codegen,WrapperCodeGen.generate,cudagraphify,compile_fx.<locals>.bw_compiler
cuda,AlbertForMaskedLM,4,24.196148,20.462047,21.599780,7.014832,1.988429,11.185977,2.581732,4.529355,0.218371,0.002367,8.943432
cuda,AlbertForQuestionAnswering,4,22.354029,18.696397,19.648529,5.404682,1.926799,8.644235,2.543366,2.964003,0.189645,0.002484,8.082506
cuda,BartForCausalLM,4,36.522047,25.663154,25.274253,13.189494,2.503443,14.621466,3.482841,3.783703,0.225055,0.002891,9.403929
cuda,BartForConditionalGeneration,2,73.372867,50.797273,51.310750,22.068481,5.054929,23.098412,8.806588,7.365014,0.523836,0.003381,16.939121
cuda,BertForMaskedLM,16,32.407904,22.972978,23.919851,9.574382,1.835268,9.819052,2.879024,3.382774,0.343702,0.002415,6.965614
cuda,BertForQuestionAnswering,16,30.698226,21.385872,22.326638,8.488456,2.060443,8.546193,2.830458,3.025287,0.339256,0.002568,6.808660
cuda,BlenderbotForCausalLM,4,63.411239,40.580415,41.073618,18.503628,5.415187,21.508135,7.729920,6.483954,0.425764,0.003222,17.493776
cuda,BlenderbotSmallForCausalLM,64,28.237845,20.736089,20.373602,11.383990,1.492536,13.810008,2.602527,3.048294,0.155319,0.002868,7.869772
cuda,BlenderbotSmallForConditionalGeneration,64,51.553116,36.479374,36.565952,16.385104,3.615198,16.287583,5.350065,5.273152,0.369672,0.003690,11.396620
cuda,CamemBert,16,32.820658,23.332451,24.423570,9.228918,2.125358,9.243431,2.934780,3.232522,0.304404,0.002644,7.038409
cuda,DebertaForMaskedLM,8,34.321479,23.178296,23.055443,8.671549,2.556358,10.612398,3.876590,3.658178,0.385659,0.002662,8.232982
cuda,DebertaForQuestionAnswering,16,33.889282,22.756925,22.625445,8.513216,2.493802,10.062970,3.844364,3.583685,0.395699,0.002658,7.903529
cuda,DebertaV2ForMaskedLM,2,67.472086,42.930651,43.077160,18.144527,4.407531,20.222933,7.233201,7.224711,0.978783,0.002605,13.877341
cuda,AlbertForMaskedLM,4,24.541262,20.825763,21.955108,6.993053,2.034028,10.798147,2.663734,4.031604,0.209414,0.002514,8.681835
